Species_ATPase,Dose,Activity
Drosophila LAN ATPase,0.001,2.432432432
Drosophila LAN ATPase,0.001,1.092896175
Drosophila LAN ATPase,0.001,0
Drosophila LAN ATPase,0.001,4.497354497
Drosophila LAN ATPase,0.001,7.789473684
Drosophila LAN ATPase,0.001,8.391608392
Drosophila LAN ATPase,0.001,1.89701897
Drosophila LAN ATPase,0.0001,6.756756757
Drosophila LAN ATPase,0.0001,6.284153005
Drosophila LAN ATPase,0.0001,5.70719603
Drosophila LAN ATPase,0.0001,7.671957672
Drosophila LAN ATPase,0.0001,9.052631579
Drosophila LAN ATPase,0.0001,12.58741259
Drosophila LAN ATPase,0.0001,7.317073171
Drosophila LAN ATPase,0.00001,19.72972973
Drosophila LAN ATPase,0.00001,20.49180328
Drosophila LAN ATPase,0.00001,18.11414392
Drosophila LAN ATPase,0.00001,19.57671958
Drosophila LAN ATPase,0.00001,24.21052632
Drosophila LAN ATPase,0.00001,24.00932401
Drosophila LAN ATPase,0.00001,21.13821138
Drosophila LAN ATPase,0.000001,51.35135135
Drosophila LAN ATPase,0.000001,51.63934426
Drosophila LAN ATPase,0.000001,49.87593052
Drosophila LAN ATPase,0.000001,49.73544974
Drosophila LAN ATPase,0.000001,53.47368421
Drosophila LAN ATPase,0.000001,53.14685315
Drosophila LAN ATPase,0.000001,52.30352304
Drosophila LAN ATPase,0.0000001,82.43243243
Drosophila LAN ATPase,0.0000001,82.78688525
Drosophila LAN ATPase,0.0000001,80.39702233
Drosophila LAN ATPase,0.0000001,82.53968254
Drosophila LAN ATPase,0.0000001,83.15789474
Drosophila LAN ATPase,0.0000001,80.88578089
Drosophila LAN ATPase,0.0000001,81.30081301
Drosophila LAN ATPase,0.00000001,92.7027027
Drosophila LAN ATPase,0.00000001,92.07650273
Drosophila LAN ATPase,0.00000001,91.81141439
Drosophila LAN ATPase,0.00000001,92.59259259
Drosophila LAN ATPase,0.00000001,89.89473684
Drosophila LAN ATPase,0.00000001,89.74358974
Drosophila LAN ATPase,0.00000001,91.32791328
Drosophila LSN ATPase,0.001,7.228915663
Drosophila LSN ATPase,0.001,7.219251337
Drosophila LSN ATPase,0.001,2.926829268
Drosophila LSN ATPase,0.001,6.619385343
Drosophila LSN ATPase,0.0001,9.939759036
Drosophila LSN ATPase,0.0001,11.4973262
Drosophila LSN ATPase,0.0001,9.268292683
Drosophila LSN ATPase,0.0001,12.76595745
Drosophila LSN ATPase,0.00001,26.5060241
Drosophila LSN ATPase,0.00001,25.93582888
Drosophila LSN ATPase,0.00001,26.09756098
Drosophila LSN ATPase,0.00001,28.36879433
Drosophila LSN ATPase,0.000001,59.3373494
Drosophila LSN ATPase,0.000001,59.35828877
Drosophila LSN ATPase,0.000001,60.48780488
Drosophila LSN ATPase,0.000001,59.33806147
Drosophila LSN ATPase,0.0000001,87.34939759
Drosophila LSN ATPase,0.0000001,86.09625668
Drosophila LSN ATPase,0.0000001,83.90243902
Drosophila LSN ATPase,0.0000001,86.28841608
Drosophila LSN ATPase,0.00000001,94.27710843
Drosophila LSN ATPase,0.00000001,93.04812834
Drosophila LSN ATPase,0.00000001,92.43902439
Drosophila LSN ATPase,0.00000001,94.08983452
Drosophila VSN ATPase,0.001,0.310559006
Drosophila VSN ATPase,0.001,6.030150754
Drosophila VSN ATPase,0.001,6.18556701
Drosophila VSN ATPase,0.001,-0.252525253
Drosophila VSN ATPase,0.0001,6.211180124
Drosophila VSN ATPase,0.0001,11.30653266
Drosophila VSN ATPase,0.0001,10.30927835
Drosophila VSN ATPase,0.0001,4.797979798
Drosophila VSN ATPase,0.00001,24.53416149
Drosophila VSN ATPase,0.00001,31.90954774
Drosophila VSN ATPase,0.00001,31.18556701
Drosophila VSN ATPase,0.00001,24.49494949
Drosophila VSN ATPase,0.000001,67.39130435
Drosophila VSN ATPase,0.000001,68.84422111
Drosophila VSN ATPase,0.000001,69.58762887
Drosophila VSN ATPase,0.000001,69.44444444
Drosophila VSN ATPase,0.0000001,88.19875776
Drosophila VSN ATPase,0.0000001,89.44723618
Drosophila VSN ATPase,0.0000001,87.11340206
Drosophila VSN ATPase,0.0000001,93.68686869
Drosophila VSN ATPase,0.00000001,94.09937888
Drosophila VSN ATPase,0.00000001,93.46733668
Drosophila VSN ATPase,0.00000001,93.81443299
Drosophila VSN ATPase,0.00000001,98.98989899
Drosophila VSH ATPase,0.001,10.30640669
Drosophila VSH ATPase,0.001,14.22594142
Drosophila VSH ATPase,0.001,12.82722513
Drosophila VSH ATPase,0.001,9.41475827
Drosophila VSH ATPase,0.001,22.59414226
Drosophila VSH ATPase,0.001,16.99507389
Drosophila VSH ATPase,0.001,15.71428571
Drosophila VSH ATPase,0.0001,49.30362117
Drosophila VSH ATPase,0.0001,49.37238494
Drosophila VSH ATPase,0.0001,51.30890052
Drosophila VSH ATPase,0.0001,50.38167939
Drosophila VSH ATPase,0.0001,55.64853556
Drosophila VSH ATPase,0.0001,53.69458128
Drosophila VSH ATPase,0.0001,55.71428571
Drosophila VSH ATPase,0.00001,83.56545961
Drosophila VSH ATPase,0.00001,84.10041841
Drosophila VSH ATPase,0.00001,84.81675393
Drosophila VSH ATPase,0.00001,85.49618321
Drosophila VSH ATPase,0.00001,82.21757322
Drosophila VSH ATPase,0.00001,85.96059113
Drosophila VSH ATPase,0.00001,80.85714286
Drosophila VSH ATPase,0.000001,90.25069638
Drosophila VSH ATPase,0.000001,94.14225941
Drosophila VSH ATPase,0.000001,91.62303665
Drosophila VSH ATPase,0.000001,92.62086514
Drosophila VSH ATPase,0.000001,87.23849372
Drosophila VSH ATPase,0.000001,90.39408867
Drosophila VSH ATPase,0.000001,89.14285714
Drosophila VSH ATPase,0.0000001,92.2005571
Drosophila VSH ATPase,0.0000001,91.21338912
Drosophila VSH ATPase,0.0000001,91.88481675
Drosophila VSH ATPase,0.0000001,93.12977099
Drosophila VSH ATPase,0.0000001,90.16736402
Drosophila VSH ATPase,0.0000001,90.64039409
Drosophila VSH ATPase,0.0000001,88.57142857
Drosophila VSH ATPase,0.00000001,94.15041783
Drosophila VSH ATPase,0.00000001,90.83769634
Drosophila VSH ATPase,0.00000001,93.38422392
Drosophila VSH ATPase,0.00000001,90.37656904
Drosophila VSH ATPase,0.00000001,92.61083744
Drosophila VSH ATPase,0.00000001,91.42857143
